,target,left_knee_angle,left_hip_angle,left_ankle_angle,right_knee_angle,right_hip_angle,right_ankle_angle,left_hip_to_right_hip,left_torso_height_to_hip_width_ratio,right_torso_height_to_hip_width_ratio,shoulder_width_to_hip_width_ratio,left_thigh_height_to_hip_width_ratio,right_thigh_height_to_hip_width_ratio,left_shin_length_to_hip_width_ratio,right_shin_length_to_hip_width_ratio,left_ankle_to_left_heel_to_hip_width_ratio,left_heel_to_left_foot_index_to_hip_width_ratio,left_foot_index_to_left_ankle_to_hip_width_ratio,right_ankle_to_right_heel_to_hip_width_ratio,right_heel_to_right_foot_index_to_hip_width_ratio,right_foot_index_to_right_ankle_to_hip_width_ratio,knee_width_to_hip_width_ratio
10,kvr,82.77279373255828,107.04586940202587,105.12510042043918,168.34512189390696,177.5745852693566,179.71434095210063,0.048141387434086115,5.148354982241263,5.136240728370612,1.2842594292334217,1.8580517931518363,1.948299998951969,2.857894381533509,2.679566978963199,0.6674078215473587,1.1406677956718252,1.03896439935362,0.3636829559410187,0.6082445475454901,0.9627525572825241,3.012132212721209
11,kvr,89.43892004212847,112.28387258318459,109.09247655639145,165.7644205763385,175.96199427104344,174.1931238530519,0.047765851553742765,5.148333888855486,5.225793260336017,1.2653010504349602,1.8725422017422675,2.207361177985787,2.7937743695852384,2.668296048367488,0.6218388464071657,1.0934498685604306,1.020072798647196,0.3224799732657742,0.5807599654844401,0.9030448152457728,2.95803409222447
12,kvr,94.22373291707453,116.0139498577692,107.31159745546222,162.93060572497322,173.28156482878325,178.20240257545498,0.04731514441483619,5.229363470323107,5.20640465238532,1.2904575751441887,1.949776788938035,2.4825108260330446,2.971198508336621,2.6721298882538798,0.5669831754623353,1.0956429071550142,1.0149402568020147,0.26264234700225225,0.5509454003371673,0.8135507993642134,2.929048375515529
13,kvr,94.4144398676454,114.31747276796442,110.00314664711799,162.64609951115338,173.73801856546402,170.76807156600856,0.04681624330396526,5.2696382361475615,5.300339838675954,1.3521606075213644,1.9739381224289052,2.592861105261412,2.992355429213205,2.6767484130216324,0.6188044738770221,1.126171643765336,1.0676545549981893,0.29744112548701446,0.5173709454539432,0.8148087420494732,3.035263336582048
14,kvr,98.66559693046605,119.8853523095727,110.22880718437334,165.74834096490872,174.54380026332132,179.5304783919122,0.040479674793719556,6.176263320024553,6.151549103707548,1.2953790677052992,2.5148863043453797,2.899483149006424,3.5456065120795595,3.6049044208356955,0.7644293949550924,1.271122256681205,1.181910434727386,0.48950550363073164,0.37540185630144224,0.8627419725280576,3.307606340222545
15,kvr,103.4230325557437,122.63087598612755,113.12938271759545,164.59286232971968,173.64069007588773,172.3802571825457,0.04210185455636061,5.99576563047725,5.873335164673674,1.3870545388087725,2.5666398096284486,3.136383643732253,3.4598305333909587,3.4890157753529816,0.7199525172928278,1.2603695230780325,1.228569630206341,0.4584046251986782,0.39156681874842075,0.8347093202050047,3.2460747785245365
16,kvr,106.15559448897744,135.7514499094183,110.26023915462324,170.96742982524722,178.40625443027935,172.64069263219136,0.04460791843309719,5.838280814183542,5.975527047173083,1.1963284793147637,2.626792109086075,3.1081072241868855,2.8966543796731177,3.105142662580464,0.805207782538283,1.2917774936486421,1.1801850102810303,0.518041073771003,0.28317213094277227,0.7593127827052876,3.102278824616722
17,kvr,100.92262807595188,130.09627201705328,112.08514439667934,170.49841844637385,178.57223793773957,172.7094189327052,0.044230353599828055,5.87917005283467,6.016431905547828,1.1677379519454645,2.4720084025939,2.8951913345198212,2.896500006738133,3.0957526478969077,0.759590308046307,1.2782620774314466,1.16723473193254,0.4257090796637722,0.30242258709260256,0.7149952389203701,3.2169331714875495
18,kvr,100.90156147159877,130.58223339564097,116.42330954753768,170.73157714136119,178.12207663803187,176.34364855445418,0.0491531297240326,5.117086564021141,5.250405855209145,1.2435761010905722,2.1588416047397643,2.7201942628396445,2.494816902848368,2.428959753663777,0.597995811967537,1.063566818751219,1.0570308485677966,0.3612349611504673,0.5522661810206877,0.9127606191127532,2.951514481538469
19,kvr,95.45441310559494,125.30474690138077,107.54879216931869,173.6024805410227,176.5310969476957,179.32157143632534,0.048030405300745094,5.329340246902046,5.289815794710321,1.350392106876819,2.1412609495124464,2.5692842816792205,2.6475588481434924,2.5476524536916,0.647548771180767,1.146106255861548,1.082310013908812,0.3767212855821977,0.5329687340048511,0.9031992133331638,3.0643391317585644
